Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Which of the following do you like most about Facebook?,Australia,25-34 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,13
Which of the following do you like most about Facebook?,Australia,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"Cats, cats, doggos, and more cats",1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,3
Which of the following do you like most about Facebook?,Australia,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,16
Which of the following do you like most about Facebook?,Australia,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Watching all the drama,2
Which of the following do you like most about Facebook?,Australia,25-34 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,None of the above,2
Which of the following do you like most about Facebook?,Australia,25-34 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,None of the above,3
Which of the following do you like most about Facebook?,Australia,25-34 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Staying connected with people I care about,1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,Average User:  I know enough to get by.,User,None of the above,2
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,Average User:  I know enough to get by.,User,Staying connected with people I care about,5
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,None of the above,3
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,8
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,2
Which of the following do you like most about Facebook?,Australia,25-34 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,16
Which of the following do you like most about Facebook?,Australia,35-44 years old,Constant User,Average User:  I know enough to get by.,User,Getting the news from places I care about,2
Which of the following do you like most about Facebook?,Australia,35-44 years old,Constant User,Average User:  I know enough to get by.,User,Staying connected with people I care about,2
Which of the following do you like most about Facebook?,Australia,35-44 years old,Constant User,Average User:  I know enough to get by.,User,Watching all the drama,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,5
Which of the following do you like most about Facebook?,Australia,35-44 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Watching all the drama,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,Average User:  I know enough to get by.,User,Getting the news from places I care about,2
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,Average User:  I know enough to get by.,User,Staying connected with people I care about,17
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,Staying connected with people I care about,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Getting the news from places I care about,3
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,None of the above,2
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,13
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"Cats, cats, doggos, and more cats",1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,4
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,6
Which of the following do you like most about Facebook?,Australia,35-44 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,30
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,None of the above,4
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Staying connected with people I care about,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,None of the above,6
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,Staying connected with people I care about,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,None of the above,3
Which of the following do you like most about Facebook?,Australia,35-44 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Staying connected with people I care about,4
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,Average User:  I know enough to get by.,User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",3
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,Average User:  I know enough to get by.,User,None of the above,5
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,Average User:  I know enough to get by.,User,Staying connected with people I care about,9
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,None of the above,7
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,12
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,2
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,9
Which of the following do you like most about Facebook?,Australia,35-44 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,16
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,Getting the news from places I care about,5
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,Average User:  I know enough to get by.,User,Staying connected with people I care about,5
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,2
Which of the following do you like most about Facebook?,Australia,45-54 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,4
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,"Cats, cats, doggos, and more cats",2
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,Getting the news from places I care about,5
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",2
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,None of the above,1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,Average User:  I know enough to get by.,User,Staying connected with people I care about,21
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,5
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"Cats, cats, doggos, and more cats",1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,6
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",2
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,3
Which of the following do you like most about Facebook?,Australia,45-54 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,32
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,"Cats, cats, doggos, and more cats",1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Getting the news from places I care about,2
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,None of the above,8
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Staying connected with people I care about,2
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,None of the above,3
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,None of the above,10
Which of the following do you like most about Facebook?,Australia,45-54 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Staying connected with people I care about,6
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,"Cats, cats, doggos, and more cats",1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,Getting the news from places I care about,4
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",3
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,None of the above,13
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,Staying connected with people I care about,18
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Average User:  I know enough to get by.,User,Watching all the drama,1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,Luddite:  Technology scares me! I only use it when I have to.,User,Staying connected with people I care about,1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,None of the above,3
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,5
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,3
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",4
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,15
Which of the following do you like most about Facebook?,Australia,45-54 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,20
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,None of the above,1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,Staying connected with people I care about,7
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,Average User:  I know enough to get by.,User,Watching all the drama,1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,12
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,"Cats, cats, doggos, and more cats",2
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,Getting the news from places I care about,15
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,"It’s good for my business, I rely on it for that",3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,None of the above,15
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,Staying connected with people I care about,69
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Average User:  I know enough to get by.,User,Watching all the drama,1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,"Cats, cats, doggos, and more cats",1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,Getting the news from places I care about,1
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,None of the above,3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Staying connected with people I care about,5
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"Cats, cats, doggos, and more cats",1
