Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Browse Facebook while limiting its ability to track me,Canada,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,7
Browse Facebook while limiting its ability to track me,Canada,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,12
Browse Facebook while limiting its ability to track me,Canada,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,9
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Constant User,Average User:  I know enough to get by.,User,No,2
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Constant User,Average User:  I know enough to get by.,User,Yes,2
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,1
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,3
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,8
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,6
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,Average User:  I know enough to get by.,User,No,12
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,Average User:  I know enough to get by.,User,Yes,3
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,No,3
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,11
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,19
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,31
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,11
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,No,4
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Yes,1
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,No,25
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,Yes,2
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,No,27
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Yes,5
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Occasional User,Average User:  I know enough to get by.,User,No,9
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,7
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,15
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,28
Browse Facebook while limiting its ability to track me,Canada,25-34 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,10
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,Average User:  I know enough to get by.,User,No,5
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,Average User:  I know enough to get by.,User,Yes,1
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,Luddite:  Technology scares me! I only use it when I have to.,User,No,1
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,2
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,3
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,8
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,7
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Daily User,Average User:  I know enough to get by.,User,No,13
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Daily User,Average User:  I know enough to get by.,User,Yes,4
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Daily User,Luddite:  Technology scares me! I only use it when I have to.,User,No,1
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,5
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,8
Browse Facebook while limiting its ability to track me,Canada,35-44 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,21
